run_accession	aligned	altitude	assembly_quality	assembly_software	bam_aspera	bam_bytes	bam_ftp	bam_galaxy	bam_md5	base_count	binning_software	bio_material	bisulfite_protocol	broad_scale_environmental_context	broker_name	cage_protocol	cell_line	cell_type	center_name	checklist	chip_ab_provider	chip_protocol	chip_target	collected_by	collection_date	collection_date_end	collection_date_start	completeness_score	contamination_score	control_experiment	country	cultivar	culture_collection	datahub	depth	description	dev_stage	disease	dnase_protocol	ecotype	elevation	environment_biome	environment_feature	environment_material	environmental_medium	environmental_sample	experiment_accession	experiment_alias	experiment_target	experiment_title	experimental_factor	experimental_protocol	extraction_protocol	faang_library_selection	fastq_aspera	fastq_bytes	fastq_ftp	fastq_galaxy	fastq_md5	file_location	first_created	first_public	germline	hi_c_protocol	host	host_body_site	host_genotype	host_gravidity	host_growth_conditions	host_phenotype	host_scientific_name	host_sex	host_status	host_tax_id	identified_by	instrument_model	instrument_platform	investigation_type	isolate	isolation_source	last_updated	lat	library_construction_protocol	library_gen_protocol	library_layout	library_max_fragment_size	library_min_fragment_size	library_name	library_pcr_isolation_protocol	library_prep_date	library_prep_date_format	library_prep_latitude	library_prep_location	library_prep_longitude	library_selection	library_source	library_strategy	local_environmental_context	location	location_end	location_start	lon	marine_region	mating_type	ncbi_reporting_standard	nominal_length	nominal_sdev	pcr_isolation_protocol	ph	project_name	protocol_label	read_count	read_strand	restriction_enzyme	restriction_enzyme_target_sequence	restriction_site	rna_integrity_num	rna_prep_3_protocol	rna_prep_5_protocol	rna_purity_230_ratio	rna_purity_280_ratio	rt_prep_protocol	age	run_alias	run_date	salinity	sample_accession	sample_alias	sample_capture_status	sample_collection	sample_description	sample_material	sample_prep_interval	sample_prep_interval_units	sample_storage	sample_storage_processing	sample_title	sampling_campaign	sampling_platform	sampling_site	scientific_name	secondary_project	secondary_sample_accession	secondary_study_accession	sequencing_date	sequencing_date_format	sequencing_location	sequencing_longitude	sequencing_method	sequencing_primer_catalog	sequencing_primer_lot	sequencing_primer_provider	serotype	serovar	sex	specimen_voucher	sra_aspera	sra_bytes	sra_ftp	sra_galaxy	sra_md5	status	strain	study_accession	study_alias	study_title	sub_species	sub_strain	submission_accession	submission_tool	submitted_aspera	submitted_bytes	submitted_format	submitted_ftp	submitted_galaxy	submitted_host_sex	submitted_md5	submitted_read_type	surveillance_target	tag	target_gene	tax_id	tax_lineage	taxonomic_classification	taxonomic_identity_marker	temperature	tissue_lib	tissue_type	transposase_protocol	variety
ERR3425091										347420196									Wellcome Sanger Institute;SC	ERC000011														dcc_compare		HiSeq X Ten paired end sequencing											ERX3448528	SC_EXP_26141_1#67		HiSeq X Ten paired end sequencing					fasp.sra.ebi.ac.uk:/vol1/fastq/ERR342/001/ERR3425091/ERR3425091_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR342/001/ERR3425091/ERR3425091_2.fastq.gz	93031019;106591656	ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/001/ERR3425091/ERR3425091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/001/ERR3425091/ERR3425091_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/001/ERR3425091/ERR3425091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/001/ERR3425091/ERR3425091_2.fastq.gz	c0fb094d783fef943a9026b09ec1ce67;4af1b9b174e684b8daea7f823b379a6b		2019-07-09	2019-07-09														HiSeq X Ten	ILLUMINA				2019-07-09		Standard		PAIRED			DN520594N:C9							RANDOM	GENOMIC	WGS									450				Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus		2300796												SC_RUN_26141_1#67			SAMEA4623159	30029cc4-2080-11e8-9200-3c4a9275d6c8			DrakHMS7376435						DrakHMS7376435				Moraxella catarrhalis		ERS2443835	ERP107281																		public		PRJEB25371	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus-sc-5248	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus			ERA2034487		fasp.sra.ebi.ac.uk:/vol1/run/ERR342/ERR3425091/26141_1#67.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR342/ERR3425091/26141_1#67.cram.crai	141992134;2214	CRAM;CRAI	ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425091/26141_1#67.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425091/26141_1#67.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425091/26141_1#67.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425091/26141_1#67.cram.crai		b0f26032e7ebea54687407029e5543c6;83796bbe28c16c68b8113c5872242814			pathogen;pathogen:bacterium		480	1;131567;2;3379134;1224;1236;2887326;468;475;480							
ERR3425159										333895126									Wellcome Sanger Institute;SC	ERC000011														dcc_compare		HiSeq X Ten paired end sequencing											ERX3448596	SC_EXP_26220_4#2		HiSeq X Ten paired end sequencing					fasp.sra.ebi.ac.uk:/vol1/fastq/ERR342/009/ERR3425159/ERR3425159_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR342/009/ERR3425159/ERR3425159_2.fastq.gz	90000959;98115094	ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/009/ERR3425159/ERR3425159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/009/ERR3425159/ERR3425159_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/009/ERR3425159/ERR3425159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/009/ERR3425159/ERR3425159_2.fastq.gz	35c03ff796fd38e96e08b86ce8876d52;a849cb3c03725f0906d6302b1bf901ed		2019-07-09	2019-07-09														HiSeq X Ten	ILLUMINA				2019-07-09		Standard		PAIRED			DN523749D:B1							RANDOM	GENOMIC	WGS									450				Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus		2211226												SC_RUN_26220_4#2			SAMEA4620499	69257be4-207f-11e8-9200-3c4a9275d6c8			DrakHMS7373778						DrakHMS7373778				Moraxella catarrhalis		ERS2441178	ERP107281																		public		PRJEB25371	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus-sc-5248	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus			ERA2034487		fasp.sra.ebi.ac.uk:/vol1/run/ERR342/ERR3425159/26220_4#2.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR342/ERR3425159/26220_4#2.cram.crai	131513354;2096	CRAM;CRAI	ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425159/26220_4#2.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425159/26220_4#2.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425159/26220_4#2.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425159/26220_4#2.cram.crai		5e0dfd6df8ebfd8bdaa4b75fbd4d96e4;bb5c1ed589f97986730a6b7215794e32			pathogen;pathogen:bacterium		480	1;131567;2;3379134;1224;1236;2887326;468;475;480							
ERR3425170										439300072									Wellcome Sanger Institute;SC	ERC000011														dcc_compare		HiSeq X Ten paired end sequencing											ERX3448607	SC_EXP_26220_4#13		HiSeq X Ten paired end sequencing					fasp.sra.ebi.ac.uk:/vol1/fastq/ERR342/000/ERR3425170/ERR3425170_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR342/000/ERR3425170/ERR3425170_2.fastq.gz	117754175;127177944	ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/000/ERR3425170/ERR3425170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/000/ERR3425170/ERR3425170_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/000/ERR3425170/ERR3425170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/000/ERR3425170/ERR3425170_2.fastq.gz	c685ec587622bd2215399e711b62ada6;f9c9214d1795b5ed733c93d6ffdf6232		2019-07-09	2019-07-09														HiSeq X Ten	ILLUMINA				2019-07-09		Standard		PAIRED			DN523749D:E2							RANDOM	GENOMIC	WGS									450				Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus		2909272												SC_RUN_26220_4#13			SAMEA4620510	69b382ea-207f-11e8-9200-3c4a9275d6c8			DrakHMS7373789						DrakHMS7373789				Moraxella catarrhalis		ERS2441189	ERP107281																		public		PRJEB25371	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus-sc-5248	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus			ERA2034487		fasp.sra.ebi.ac.uk:/vol1/run/ERR342/ERR3425170/26220_4#13.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR342/ERR3425170/26220_4#13.cram.crai	171132949;2774	CRAM;CRAI	ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425170/26220_4#13.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425170/26220_4#13.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425170/26220_4#13.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425170/26220_4#13.cram.crai		ccda8e9d6d5c6cab2e2f2eeafa296ed4;ce57e200130928fbb5fd8145f618a44a			pathogen;pathogen:bacterium		480	1;131567;2;3379134;1224;1236;2887326;468;475;480							
ERR3425175										376873048									Wellcome Sanger Institute;SC	ERC000011														dcc_compare		HiSeq X Ten paired end sequencing											ERX3448612	SC_EXP_26220_4#18		HiSeq X Ten paired end sequencing					fasp.sra.ebi.ac.uk:/vol1/fastq/ERR342/005/ERR3425175/ERR3425175_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR342/005/ERR3425175/ERR3425175_2.fastq.gz	101767208;110483543	ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/005/ERR3425175/ERR3425175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/005/ERR3425175/ERR3425175_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/005/ERR3425175/ERR3425175_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/005/ERR3425175/ERR3425175_2.fastq.gz	cfbfe11a76256ec2b06f15e13c7506a2;d5ec746926b08fe585cda88cfbf29da6		2019-07-09	2019-07-09														HiSeq X Ten	ILLUMINA				2019-07-09		Standard		PAIRED			DN523749D:B3							RANDOM	GENOMIC	WGS									450				Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus		2495848												SC_RUN_26220_4#18			SAMEA4620515	69ed11fe-207f-11e8-9200-3c4a9275d6c8			DrakHMS7373794						DrakHMS7373794				Moraxella catarrhalis		ERS2441194	ERP107281																		public		PRJEB25371	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus-sc-5248	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus			ERA2034487		fasp.sra.ebi.ac.uk:/vol1/run/ERR342/ERR3425175/26220_4#18.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR342/ERR3425175/26220_4#18.cram.crai	148039436;2345	CRAM;CRAI	ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425175/26220_4#18.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425175/26220_4#18.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425175/26220_4#18.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425175/26220_4#18.cram.crai		64b5fa533b4dc938e42e9dc67efb06e3;76973d6ba68234034decc51f254a3c78			pathogen;pathogen:bacterium		480	1;131567;2;3379134;1224;1236;2887326;468;475;480							
ERR3425179										397084700									Wellcome Sanger Institute;SC	ERC000011														dcc_compare		HiSeq X Ten paired end sequencing											ERX3448616	SC_EXP_26220_4#22		HiSeq X Ten paired end sequencing					fasp.sra.ebi.ac.uk:/vol1/fastq/ERR342/009/ERR3425179/ERR3425179_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR342/009/ERR3425179/ERR3425179_2.fastq.gz	107273912;116729666	ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/009/ERR3425179/ERR3425179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/009/ERR3425179/ERR3425179_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/009/ERR3425179/ERR3425179_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/009/ERR3425179/ERR3425179_2.fastq.gz	c11e9d1d5d4f8445796016d449a089f9;ba7ab67aa166d78c5c0e7d175c1708be		2019-07-09	2019-07-09														HiSeq X Ten	ILLUMINA				2019-07-09		Standard		PAIRED			DN523749D:F3							RANDOM	GENOMIC	WGS									450				Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus		2629700												SC_RUN_26220_4#22			SAMEA4620519	6a16602c-207f-11e8-9200-3c4a9275d6c8			DrakHMS7373798						DrakHMS7373798				Moraxella catarrhalis		ERS2441198	ERP107281																		public		PRJEB25371	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus-sc-5248	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus			ERA2034487		fasp.sra.ebi.ac.uk:/vol1/run/ERR342/ERR3425179/26220_4#22.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR342/ERR3425179/26220_4#22.cram.crai	155789328;2503	CRAM;CRAI	ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425179/26220_4#22.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425179/26220_4#22.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425179/26220_4#22.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425179/26220_4#22.cram.crai		2515b3563c2c7a9faddd20aa9ba1ef39;fcadf2eaf14bfa41493743f3d0743dda			pathogen;pathogen:bacterium		480	1;131567;2;3379134;1224;1236;2887326;468;475;480							
ERR3448858										710499998									Wellcome Sanger Institute;SC	ERC000011														dcc_compare		HiSeq X Ten paired end sequencing											ERX3470857	SC_EXP_26237_7#3		HiSeq X Ten paired end sequencing					fasp.sra.ebi.ac.uk:/vol1/fastq/ERR344/008/ERR3448858/ERR3448858_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR344/008/ERR3448858/ERR3448858_2.fastq.gz	188920188;211445983	ftp.sra.ebi.ac.uk/vol1/fastq/ERR344/008/ERR3448858/ERR3448858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR344/008/ERR3448858/ERR3448858_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR344/008/ERR3448858/ERR3448858_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR344/008/ERR3448858/ERR3448858_2.fastq.gz	bd99ffa0618046f9baeeae53bae1fb45;89022a1aca173136a1d2ff9870ff1856		2019-07-23	2019-07-23														HiSeq X Ten	ILLUMINA				2019-07-23		Standard		PAIRED			DN523762A:C1							RANDOM	GENOMIC	WGS									450				Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus		4705298												SC_RUN_26237_7#3			SAMEA4620287	5848a3a0-207f-11e8-9200-3c4a9275d6c8			DrakHMS7373567						DrakHMS7373567				Moraxella catarrhalis		ERS2440967	ERP107281																		public		PRJEB25371	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus-sc-5248	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus			ERA2045649		fasp.sra.ebi.ac.uk:/vol1/run/ERR344/ERR3448858/26237_7#3.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR344/ERR3448858/26237_7#3.cram.crai	280224819;4546	CRAM;CRAI	ftp.sra.ebi.ac.uk/vol1/run/ERR344/ERR3448858/26237_7#3.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR344/ERR3448858/26237_7#3.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR344/ERR3448858/26237_7#3.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR344/ERR3448858/26237_7#3.cram.crai		0d5f4822e9508be0d7a0e30d9760ce0f;fa47ec9d69a6ea0800c6a4a3d07f350d			pathogen;pathogen:bacterium		480	1;131567;2;3379134;1224;1236;2887326;468;475;480							
ERR3425182										363579914									Wellcome Sanger Institute;SC	ERC000011														dcc_compare		HiSeq X Ten paired end sequencing											ERX3448619	SC_EXP_26220_4#25		HiSeq X Ten paired end sequencing					fasp.sra.ebi.ac.uk:/vol1/fastq/ERR342/002/ERR3425182/ERR3425182_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR342/002/ERR3425182/ERR3425182_2.fastq.gz	98449510;106608744	ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/002/ERR3425182/ERR3425182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/002/ERR3425182/ERR3425182_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/002/ERR3425182/ERR3425182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/002/ERR3425182/ERR3425182_2.fastq.gz	9657f7bc98628d4af81bb372151ed786;5e11b56e251fc3d9369bf424be96a84a		2019-07-09	2019-07-09														HiSeq X Ten	ILLUMINA				2019-07-09		Standard		PAIRED			DN523749D:A4							RANDOM	GENOMIC	WGS									450				Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus		2407814												SC_RUN_26220_4#25			SAMEA4620522	6a34cc06-207f-11e8-9200-3c4a9275d6c8			DrakHMS7373801						DrakHMS7373801				Moraxella catarrhalis		ERS2441201	ERP107281																		public		PRJEB25371	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus-sc-5248	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus			ERA2034487		fasp.sra.ebi.ac.uk:/vol1/run/ERR342/ERR3425182/26220_4#25.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR342/ERR3425182/26220_4#25.cram.crai	142732696;2260	CRAM;CRAI	ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425182/26220_4#25.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425182/26220_4#25.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425182/26220_4#25.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425182/26220_4#25.cram.crai		92b4604328ff28de96c9feced09d44c5;1433e5a15664062ba46976e4110d8c21			pathogen;pathogen:bacterium		480	1;131567;2;3379134;1224;1236;2887326;468;475;480							
ERR3904260										257132464									Wellcome Sanger Institute;SC	ERC000011														dcc_compare		HiSeq X Ten paired end sequencing											ERX3914313	SC_EXP_26251_8#185		HiSeq X Ten paired end sequencing					fasp.sra.ebi.ac.uk:/vol1/fastq/ERR390/000/ERR3904260/ERR3904260_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR390/000/ERR3904260/ERR3904260_2.fastq.gz	72339556;77590588	ftp.sra.ebi.ac.uk/vol1/fastq/ERR390/000/ERR3904260/ERR3904260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR390/000/ERR3904260/ERR3904260_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR390/000/ERR3904260/ERR3904260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR390/000/ERR3904260/ERR3904260_2.fastq.gz	96a424b2e3bba59d769b866995fada6c;3a1e3fe107a58fc0413acb28b079fed0		2020-02-12	2020-02-12														HiSeq X Ten	ILLUMINA				2020-02-12		Standard		PAIRED			DN523791F:B12							RANDOM	GENOMIC	WGS									450				Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus		1702864												SC_RUN_26251_8#185			SAMEA4622221	ee6b77c2-207f-11e8-9200-3c4a9275d6c8			DrakHMS7375498						DrakHMS7375498				Moraxella catarrhalis		ERS2442898	ERP107281																		public		PRJEB25371	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus-sc-5248	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus			ERA2380443		fasp.sra.ebi.ac.uk:/vol1/run/ERR390/ERR3904260/26251_8#185.cram	104817231	CRAM	ftp.sra.ebi.ac.uk/vol1/run/ERR390/ERR3904260/26251_8#185.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR390/ERR3904260/26251_8#185.cram		40b4d5a03137734485ea42896c5dfe79			pathogen;pathogen:bacterium		480	1;131567;2;3379134;1224;1236;2887326;468;475;480							
ERR3425183										337999004									Wellcome Sanger Institute;SC	ERC000011														dcc_compare		HiSeq X Ten paired end sequencing											ERX3448620	SC_EXP_26220_4#26		HiSeq X Ten paired end sequencing					fasp.sra.ebi.ac.uk:/vol1/fastq/ERR342/003/ERR3425183/ERR3425183_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR342/003/ERR3425183/ERR3425183_2.fastq.gz	91661319;100062052	ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/003/ERR3425183/ERR3425183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/003/ERR3425183/ERR3425183_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/003/ERR3425183/ERR3425183_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR342/003/ERR3425183/ERR3425183_2.fastq.gz	4a6d800650729a78e9ad1c816f1b2aba;7677dff6b7a2b3f94d9cf058ed284687		2019-07-09	2019-07-09														HiSeq X Ten	ILLUMINA				2019-07-09		Standard		PAIRED			DN523749D:B4							RANDOM	GENOMIC	WGS									450				Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus		2238404												SC_RUN_26220_4#26			SAMEA4620523	6a3eb9aa-207f-11e8-9200-3c4a9275d6c8			DrakHMS7373802						DrakHMS7373802				Moraxella catarrhalis		ERS2441202	ERP107281																		public		PRJEB25371	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus-sc-5248	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus			ERA2034487		fasp.sra.ebi.ac.uk:/vol1/run/ERR342/ERR3425183/26220_4#26.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR342/ERR3425183/26220_4#26.cram.crai	133529376;2118	CRAM;CRAI	ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425183/26220_4#26.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425183/26220_4#26.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425183/26220_4#26.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR342/ERR3425183/26220_4#26.cram.crai		b3c1c7d91c8a346202c3bc5138715f06;20332a6b7903ec03eddffe758dddee66			pathogen;pathogen:bacterium		480	1;131567;2;3379134;1224;1236;2887326;468;475;480							
ERR3904270										353003270									Wellcome Sanger Institute;SC	ERC000011														dcc_compare		HiSeq X Ten paired end sequencing											ERX3914323	SC_EXP_26251_8#195		HiSeq X Ten paired end sequencing					fasp.sra.ebi.ac.uk:/vol1/fastq/ERR390/000/ERR3904270/ERR3904270_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR390/000/ERR3904270/ERR3904270_2.fastq.gz	97923783;103641838	ftp.sra.ebi.ac.uk/vol1/fastq/ERR390/000/ERR3904270/ERR3904270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR390/000/ERR3904270/ERR3904270_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR390/000/ERR3904270/ERR3904270_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR390/000/ERR3904270/ERR3904270_2.fastq.gz	315a346ec6acf88b9484b0cedfab2842;39485e67bbfa8432da281c1cb3adfc11		2020-02-12	2020-02-12														HiSeq X Ten	ILLUMINA				2020-02-12		Standard		PAIRED			DN523792G:D1							RANDOM	GENOMIC	WGS									450				Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus		2337770												SC_RUN_26251_8#195			SAMEA4622231	f1858e48-207f-11e8-9200-3c4a9275d6c8			DrakHMS7375508						DrakHMS7375508				Moraxella catarrhalis		ERS2442908	ERP107281																		public		PRJEB25371	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus-sc-5248	Genomic_analysis_of_Haemophilus_influenzae__Moraxella_catarrhalis_and_Staphylococcus_aureus			ERA2380443		fasp.sra.ebi.ac.uk:/vol1/run/ERR390/ERR3904270/26251_8#195.cram	141207014	CRAM	ftp.sra.ebi.ac.uk/vol1/run/ERR390/ERR3904270/26251_8#195.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR390/ERR3904270/26251_8#195.cram		56070740cd44f20a4c2e0a7dc9139501			pathogen;pathogen:bacterium		480	1;131567;2;3379134;1224;1236;2887326;468;475;480							
